Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
CL,Coquimbo,Punitaqui,Little North,,,,
MX,Chiapas,Chicomuselo,Southwest,Area 6,,,
BR,São Paulo,Santa Cruz da Conceição,Sudeste,,,,AM de Rest of SP
PY,Paraguarí,Carapeguá,Oriental,,,,
EC,Guayas,Coronel Marcelino Maridueña,Costa/Cost,,,,
MX,Nuevo León,Vallecillo,Northeast,Area 2,Norte,Norte,
EC,Santo Domingo de los Tsáchilas,,Sierra,Costa,,Costa,
BR,Paraná,Kaloré,Sul,,,,AM de Rest of Parana
SV,La Union ,El Salvador,Oriental,,,,
VE,Lara,Barquisimeto,Centroccidental,,,,
NI,Carazo,La Pitilla,Region II,,,,
BR,Mato Grosso,Salto do Céu,Centro-Oeste,,,,
CL,La Araucanía,Saavedra,Southern,Sur,,,
BR,Minas Gerais,São Francisco do Glória,Sudeste,,,,AM de Rest of Minas
MX,Sonora,La Colorada,Northwest,Area 1,Centro,Central Bajio,
BR,Goiás,Damolândia,Centro-Oeste,,,,AM de Rest of Goias
BR,Santa Catarina,União do Oeste,Sul,,,,AM de Rest of Santa Catarina
BR,Minas Gerais,Cipotânea,Sudeste,,,,AM de Rest of Minas
MX,Guerrero,Tlacoachistlahuaca,Southwest,Area 4,Sur,Occidente Pacífico,
BR,Minas Gerais,Goianá,Sudeste,,,,AM de Rest of Minas
UY,Salto,Biassini,Norte,,,,
CR,Puntarenas,San Luis,Other,,,,
BR,Piauí,Nova Santa Rita,Nordeste,,,,
GT,Petén,"San Francisco – 8,066",Region VIII- Pet,,,,
GT,Escuintla,Tiquisate,,,,,
CR,Cartago,Guayabo,Cartago,,,,
SV,Cuscatlán,Concepción,Central,,,,
NI,Carazo,Barranco Bayo,Region II,,,,
BR,São Paulo,São Bernardo do Campo,Sudeste,,,,
CL,Valparaíso,Papudo,Central,,,,
CR,Alajuela,San Jorge,Alajuela,,,,
BR,Minas Gerais,São Brás do Suaçuí,Sudeste,,,,AM de Rest of Minas
CR,Guanacaste,Coyolito,Other,,,,
MX,Puebla,Zihuateutla,East,Area 4,Sur,Occidente Pacífico,
SV,La Libertad,Santa Lucía,Central,,,,
NI,Managua,Quebrada Honda,Region I,,,,
GT,Sololá,San Marcos La Laguna,Region VI- Suroccidental,,,,
CR,Guanacaste,Guacalito,Other,,,,
MX,Veracruz de Ignacio de la Llave,Chiconamel,East,Area 6,,,
PY,Central,,,,,,
NI,Chinandega,Las Brisas,Region III,,,,
UY,Tacuarembó,Peralta,Norte,,,,
BR,São Paulo,Várzea Paulista,Sudeste,,,,
CO,Norte de Santander,Ragonvalia,Oriental,Oriente,,,
SV,Ahuachapán,Llano de Doña María,Occidental,,,,
NI,Granada,El Coyolar,Region II,,,,
NI,Chinandega,Caserío Maderas Negras,Region III,,,,
AR,Jujuy,Rinconada,Noroeste,,,,
AR,Córdoba,Villa El Fachinal,Centro,,,,Grande Córdoba
MX,Yucatán,Sanahcat,Southeast,Area 6,,,
NI,Matagalpa,La Cumplida,Region III,,,,
SV,La Union ,Santa Clara,Oriental,,,,
SV,Cuscatlán,Montepeque,Central,,,,
SV,Sonsonate,Cantón Chaparron,Occidental,,,,
BR,Tocantins,Piraquê,Norte,,,,
SV,San Vicente,Santa Bárbara,Paracentral,,,,
UY,Montevideo,Pueblo Ferrocarril,Metropolitana,,,,
UY,Rocha,El Oratorio,Este,,,,
MX,San Luis Potosí,Santo Domingo,North-Central,Area 2,Norte,Norte,
UY,Artigas,Cuaró,Norte,,,,
CR,Limón,Margarita,Other,,,,
NI,Carazo,El Asilo,Region II,,,,
SV,San Miguel,San Jacinto,Oriental,,,,
SV,Morazán,Villa El Rosario,Oriental,,,,
SV,San Miguel,Cuajinique,Oriental,,,,
NI,Chinandega,El Puente,Region III,,,,
SV,La Libertad,El Carmen,Central,,,,
MX,Oaxaca,San Juan Teitipac,Southwest,Area 6,,,
MX,Oaxaca,San Martín Tilcajete,Southwest,Area 6,,,
CL,Metropolitana de Santiago,Alto Jahuel,,,,,
SV,La Libertad,Campana,Central,,,,
PE,Moquegua,Ilo,,,,,
CR,Guanacaste,García Flamenco,Other,,,,
SV,La Libertad,Ingeniero San Andrés,Central,,,,
NI,Nueva Segovia,Las Cruces,Region III,,,,
UY,Tacuarembó,Los Silveyra,Norte,,,,
CR,San José,Bajo Cárdenas,San Jose,,,,
CO,Valle del Cauca,Ginebra,,Sur Occidente,,Sur,
PE,Junín,Santa Rosa de Saco,Central,,,,
CR,Guanacaste,Cabecera de Lajas,Other,,,,
UY,Artigas,Fagúndez,Norte,,,,
NI,Boaco,La Montañita,Region III,,,,
PA,Coclé,Penonomé,,,,,
SV,La Libertad,El Chorrerón,Central,,,,
CO,Córdoba,Ayapel,,Costa Atlantica,,Norte,
NI,Boaco,Maderas,Region III,,,,
CR,Guanacaste,Hacienda Pilige,Other,,,,
NI,Chontales,Santa Rita,Region III,,,,
CO,Tolima,Venadillo,,Centro,,Andes,
CR,Alajuela,Poás,,,,,
SV,San Vicente,La Joya,Paracentral,,,,
CR,Puntarenas,Los Planes,Other,,,,
NI,Matagalpa,Caña de Ora,Region III,,,,
CR,Cartago,Tierra Blanca,,,,,
CR,Puntarenas,Montero,Other,,,,
SV,Chalatenango,Potenciana,Central,,,,
SV,San Miguel,Los Espinos,Oriental,,,,
NI,Chinandega,San Miguelito,Region III,,,,
CL,Valparaíso,El Tabo,,,,,
AR,Resto de la Provincia de Buenos Aires,Zárate,Provincia de Buenos Aires,,,,AMBA
NI,León,El Salitre,Region II,,,,
PE,Lima,Lima,Central,,,,AM de Lima
UY,Canelones,Salinas,,,,,
CR,Cartago,Volio,Cartago,,,,
CR,Alajuela,Sabanilla,,,,,
CR,Guanacaste,Punta Trinidad,Other,,,,
CR,Alajuela,Méjico,Alajuela,,,,
SV,Santa Ana,Caserío La Coyote,Occidental,,,,
NI,Chontales,Jacote,Region III,,,,
CR,San José,Agua Blanca,,,,,
VE,Portuguesa,Villa Bruzual,,,,,
UY,Tacuarembó,Paso del Parque,Norte,,,,
NI,Chinandega,El Palacio,Region III,,,,
UY,Artigas,Estación Isla de Cabello,Norte,,,,
MX,Zacatecas,,North-Central,Area 2,Norte,Norte,AM de Monterrey
CO,Caquetá,Albania,,Sur Occidente,,Sur,
PR,Mayagüez,Isabela,,,,,Aguadilla - Isabela - San Sebastian
CR,San José,Granadilla,,,,,
CR,Puntarenas,Ventanas,Other,,,,
PE,Lima,Chancay,Lima and Callao,,,,AM de Lima
PA,Herrera,Pesé,,,,,
BR,São Paulo,Santa Rosa de Viterbo,Sudeste,,,,AM de Rest of SP
CL,Metropolitana de Santiago,Maipú,Metropolitana de Santiago,,,,AM de Santiago
AR,Formosa,Formosa,Noreste,,,,
BR,Pernambuco,Nazaré da Mata,Nordeste,,,,AM de Rest of Pernambuco
MX,Puebla,Zacatlan,East,Area 4,Sur,Occidente Pacífico,
BO,Oruro,,Other,,,,
